At Least,But Less Than,Single,Married filing jointly,Married filing          separately,Head of household
54550,54600,9383,7254,9383,7896
54600,54650,9395,7261,9395,7909
54650,54700,9408,7269,9408,7921
54700,54750,9420,7276,9420,7934
54750,54800,9433,7284,9433,7946
54800,54850,9445,7291,9445,7959
54850,54900,9458,7299,9458,7971
54900,54950,9470,7306,9470,7984
54950,55000,9483,7314,9483,7996
55000,55050,9495,7321,9495,8009
55050,55100,9508,7329,9508,8021
55100,55150,9520,7336,9520,8034
55150,55200,9533,7344,9533,8046
55200,55250,9545,7351,9545,8059
55250,55300,9558,7359,9558,8071
55300,55350,9570,7366,9570,8084
55350,55400,9583,7374,9583,8096
55400,55450,9595,7381,9595,8109
55450,55500,9608,7389,9608,8121
55500,55550,9620,7396,9620,8134
55550,55600,9633,7404,9633,8146
55600,55650,9645,7411,9645,8159
55650,55700,9658,7419,9658,8171
55700,55750,9670,7426,9670,8184
55750,55800,9683,7434,9683,8196
55800,55850,9695,7441,9695,8209
55850,55900,9708,7449,9708,8221
55900,55950,9720,7456,9720,8234
55950,56000,9733,7464,9733,8246
56000,56050,9745,7471,9745,8259
56050,56100,9758,7479,9758,8271
56100,56150,9770,7486,9770,8284
56150,56200,9783,7494,9783,8296
56200,56250,9795,7501,9795,8309
56250,56300,9808,7509,9808,8321
56300,56350,9820,7516,9820,8334
56350,56400,9833,7524,9833,8346
56400,56450,9845,7531,9845,8359
56450,56500,9858,7539,9858,8371
56500,56550,9870,7546,9870,8384
56550,56600,9883,7554,9883,8396
56600,56650,9895,7561,9895,8409
56650,56700,9908,7569,9908,8421
56700,56750,9920,7576,9920,8434
56750,56800,9933,7584,9933,8446
56800,56850,9945,7591,9945,8459
56850,56900,9958,7599,9958,8471
56900,56950,9970,7606,9970,8484
56950,57000,9983,7614,9983,8496
57000,57050,9995,7621,9995,8509
57050,57100,10008,7629,10008,8521
57100,57150,10020,7636,10020,8534
57150,57200,10033,7644,10033,8546
57200,57250,10045,7651,10045,8559
57250,57300,10058,7659,10058,8571
57300,57350,10070,7666,10070,8584
57350,57400,10083,7674,10083,8596
57400,57450,10095,7681,10095,8609
57450,57500,10108,7689,10108,8621
57500,57550,10120,7696,10120,8634
57550,57600,10133,7704,10133,8646
57600,57650,10145,7711,10145,8659
57650,57700,10158,7719,10158,8671
57700,57750,10170,7726,10170,8684
57750,57800,10183,7734,10183,8696
57800,57850,10195,7741,10195,8709
57850,57900,10208,7749,10208,8721
57900,57950,10220,7756,10220,8734
57950,58000,10233,7764,10233,8746
58000,58050,10245,7771,10245,8759
58050,58100,10258,7779,10258,8771
58100,58150,10270,7786,10270,8784
58150,58200,10283,7794,10283,8796
58200,58250,10295,7801,10295,8809
58250,58300,10308,7809,10308,8821
58300,58350,10320,7816,10320,8834
58350,58400,10333,7824,10333,8846
58400,58450,10345,7831,10345,8859
58450,58500,10358,7839,10358,8871
58500,58550,10370,7846,10370,8884
58550,58600,10383,7854,10383,8896
58600,58650,10395,7861,10395,8909
58650,58700,10408,7869,10408,8921
58700,58750,10420,7876,10420,8934
58750,58800,10433,7884,10433,8946
58800,58850,10445,7891,10445,8959
58850,58900,10458,7899,10458,8971
58900,58950,10470,7906,10470,8984
58950,59000,10483,7914,10483,8996
59000,59050,10495,7921,10495,9009
59050,59100,10508,7929,10508,9021
59100,59150,10520,7936,10520,9034
59150,59200,10533,7944,10533,9046
59200,59250,10545,7951,10545,9059
59250,59300,10558,7959,10558,9071
59300,59350,10570,7966,10570,9084
59350,59400,10583,7974,10583,9096
59400,59450,10595,7981,10595,9109
59450,59500,10608,7989,10608,9121
59500,59550,10620,7996,10620,9134
59550,59600,10633,8004,10633,9146
59600,59650,10645,8011,10645,9159
59650,59700,10658,8019,10658,9171
59700,59750,10670,8026,10670,9184
59750,59800,10683,8034,10683,9196
59800,59850,10695,8041,10695,9209
59850,59900,10708,8049,10708,9221
59900,59950,10720,8056,10720,9234
59950,60000,10733,8064,10733,9246
60000,60050,10745,8071,10745,9259
60050,60100,10758,8079,10758,9271
60100,60150,10770,8086,10770,9284
60150,60200,10783,8094,10783,9296
60200,60250,10795,8101,10795,9309
60250,60300,10808,8109,10808,9321
60300,60350,10820,8116,10820,9334
60350,60400,10833,8124,10833,9346
60400,60450,10845,8131,10845,9359
60450,60500,10858,8139,10858,9371
60500,60550,10870,8146,10870,9384
60550,60600,10883,8154,10883,9396
60600,60650,10895,8161,10895,9409
60650,60700,10908,8169,10908,9421
60700,60750,10920,8176,10920,9434
60750,60800,10933,8184,10933,9446
60800,60850,10945,8191,10945,9459
60850,60900,10958,8199,10958,9471
60900,60950,10970,8206,10970,9484
60950,61000,10983,8214,10983,9496
61000,61050,10995,8221,10995,9509
61050,61100,11008,8229,11008,9521
61100,61150,11020,8236,11020,9534
61150,61200,11033,8244,11033,9546
61200,61250,11045,8251,11045,9559
61250,61300,11058,8259,11058,9571
61300,61350,11070,8266,11070,9584
61350,61400,11083,8274,11083,9596
61400,61450,11095,8281,11095,9609
61450,61500,11108,8289,11108,9621
61500,61550,11120,8296,11120,9634
61550,61600,11133,8304,11133,9646
61600,61650,11145,8311,11145,9659
61650,61700,11158,8319,11158,9671
61700,61750,11170,8326,11170,9684
61750,61800,11183,8334,11183,9696
61800,61850,11195,8341,11195,9709
61850,61900,11208,8349,11208,9721
61900,61950,11220,8356,11220,9734
61950,62000,11233,8364,11233,9746
62000,62050,11245,8371,11245,9759
62050,62100,11258,8379,11258,9771
62100,62150,11270,8386,11270,9784
62150,62200,11283,8394,11283,9796
62200,62250,11295,8401,11295,9809
62250,62300,11308,8409,11308,9821
62300,62350,11320,8416,11320,9834
62350,62400,11333,8424,11333,9846
62400,62450,11345,8431,11345,9859
62450,62500,11358,8439,11358,9871
62500,62550,11370,8446,11370,9884
62550,62600,11383,8454,11383,9896
62600,62650,11395,8461,11395,9909
62650,62700,11408,8469,11408,9921
62700,62750,11420,8476,11420,9934
62750,62800,11433,8484,11433,9946
62800,62850,11445,8491,11445,9959
62850,62900,11458,8499,11458,9971
62900,62950,11470,8506,11470,9984
62950,63000,11483,8514,11483,9996
63000,63050,11495,8521,11495,10009
63050,63100,11508,8529,11508,10021
63100,63150,11520,8536,11520,10034
63150,63200,11533,8544,11533,10046
63200,63250,11545,8551,11545,10059
63250,63300,11558,8559,11558,10071
63300,63350,11570,8566,11570,10084
63350,63400,11583,8574,11583,10096
63400,63450,11595,8581,11595,10109
63450,63500,11608,8589,11608,10121
63500,63550,11620,8596,11620,10134
63550,63600,11633,8604,11633,10146
63600,63650,11645,8611,11645,10159
63650,63700,11658,8619,11658,10171
63700,63750,11670,8626,11670,10184
63750,63800,11683,8634,11683,10196
63800,63850,11695,8641,11695,10209
63850,63900,11708,8649,11708,10221
63900,63950,11720,8656,11720,10234
63950,64000,11733,8664,11733,10246
64000,64050,11745,8671,11745,10259
64050,64100,11758,8679,11758,10271
64100,64150,11770,8686,11770,10284
64150,64200,11783,8694,11783,10296
64200,64250,11795,8701,11795,10309
64250,64300,11808,8709,11808,10321
64300,64350,11820,8716,11820,10334
64350,64400,11833,8724,11833,10346
64400,64450,11845,8731,11845,10359
64450,64500,11858,8739,11858,10371
64500,64550,11870,8746,11870,10384
64550,64600,11883,8754,11883,10396
64600,64650,11895,8761,11895,10409
64650,64700,11908,8769,11908,10421
64700,64750,11920,8776,11920,10434
64750,64800,11933,8784,11933,10446
64800,64850,11945,8791,11945,10459
64850,64900,11958,8799,11958,10471
64900,64950,11970,8806,11970,10484
64950,65000,11983,8814,11983,10496
65000,65050,11995,8821,11995,10509
65050,65100,12008,8829,12008,10521
65100,65150,12020,8836,12020,10534
65150,65200,12033,8844,12033,10546
65200,65250,12045,8851,12045,10559
65250,65300,12058,8859,12058,10571
65300,65350,12070,8866,12070,10584
65350,65400,12083,8874,12083,10596
65400,65450,12095,8881,12095,10609
65450,65500,12108,8889,12108,10621
65500,65550,12120,8896,12120,10634
65550,65600,12133,8904,12133,10646
65600,65650,12145,8911,12145,10659
65650,65700,12158,8919,12158,10671
65700,65750,12170,8926,12170,10684
65750,65800,12183,8934,12183,10696
65800,65850,12195,8941,12195,10709
65850,65900,12208,8949,12208,10721
65900,65950,12220,8956,12220,10734
65950,66000,12233,8964,12233,10746
66000,66050,12245,8971,12245,10759
66050,66100,12258,8979,12258,10771
66100,66150,12270,8986,12270,10784
66150,66200,12283,8994,12283,10796
66200,66250,12295,9001,12295,10809
66250,66300,12308,9009,12308,10821
66300,66350,12320,9016,12320,10834
66350,66400,12333,9024,12333,10846
66400,66450,12345,9031,12345,10859
66450,66500,12358,9039,12358,10871
66500,66550,12370,9046,12370,10884
66550,66600,12383,9054,12383,10896
66600,66650,12395,9061,12395,10909
66650,66700,12408,9069,12408,10921
66700,66750,12420,9076,12420,10934
66750,66800,12433,9084,12433,10946
66800,66850,12445,9091,12445,10959
66850,66900,12458,9099,12458,10971
66900,66950,12470,9106,12470,10984
66950,67000,12483,9114,12483,10996
67000,67050,12495,9121,12495,11009
67050,67100,12508,9129,12508,11021
67100,67150,12520,9136,12520,11034
67150,67200,12533,9144,12533,11046
67200,67250,12545,9151,12545,11059
67250,67300,12558,9159,12558,11071
67300,67350,12570,9166,12570,11084
67350,67400,12583,9174,12583,11096
67400,67450,12595,9181,12595,11109
67450,67500,12608,9189,12608,11121
67500,67550,12620,9196,12620,11134
67550,67600,12633,9204,12633,11146
67600,67650,12645,9211,12645,11159
67650,67700,12658,9219,12658,11171
67700,67750,12670,9226,12670,11184
67750,67800,12683,9234,12683,11196
67800,67850,12695,9241,12695,11209
67850,67900,12708,9249,12708,11221
67900,67950,12720,9256,12720,11234
67950,68000,12733,9264,12733,11246
68000,68050,12745,9271,12745,11259
68050,68100,12758,9279,12758,11271
68100,68150,12770,9286,12770,11284
68150,68200,12783,9294,12783,11296
68200,68250,12795,9301,12795,11309
68250,68300,12808,9309,12808,11321
68300,68350,12820,9316,12820,11334
68350,68400,12833,9324,12833,11346
68400,68450,12845,9331,12845,11359
68450,68500,12858,9339,12858,11371
68500,68550,12870,9346,12870,11384
68550,68600,12883,9354,12883,11396
68600,68650,12895,9361,12895,11409
68650,68700,12908,9369,12908,11421
68700,68750,12920,9376,12920,11434
68750,68800,12933,9384,12933,11446
68800,68850,12945,9391,12945,11459
68850,68900,12958,9399,12958,11471
68900,68950,12970,9406,12970,11484
68950,69000,12983,9414,12983,11496
69000,69050,12995,9421,12995,11509
69050,69100,13008,9429,13008,11521
69100,69150,13020,9436,13020,11534
69150,69200,13033,9444,13033,11546
69200,69250,13045,9451,13045,11559
69250,69300,13058,9459,13058,11571
69300,69350,13070,9466,13070,11584
69350,69400,13083,9474,13083,11596
69400,69450,13095,9481,13095,11609
69450,69500,13108,9489,13108,11621
69500,69550,13120,9496,13120,11634
69550,69600,13133,9504,13133,11646
69600,69650,13145,9511,13145,11659
69650,69700,13158,9519,13158,11671
69700,69750,13170,9526,13170,11684
69750,69800,13183,9534,13183,11696
69800,69850,13195,9541,13195,11709
69850,69900,13208,9549,13208,11721
69900,69950,13220,9556,13220,11734
69950,70000,13233,9564,13233,11746
70000,70050,13245,9571,13245,11759
70050,70100,13258,9579,13258,11771
70100,70150,13270,9586,13270,11784
70150,70200,13283,9594,13283,11796
70200,70250,13295,9601,13295,11809
70250,70300,13308,9609,13308,11821
70300,70350,13320,9616,13320,11834
70350,70400,13333,9624,13333,11846
70400,70450,13345,9631,13345,11859
70450,70500,13358,9639,13358,11871
70500,70550,13370,9646,13370,11884
70550,70600,13383,9654,13383,11896
70600,70650,13395,9661,13395,11909
70650,70700,13408,9669,13408,11921
70700,70750,13420,9676,13420,11934
70750,70800,13433,9684,13433,11946
70800,70850,13445,9691,13445,11959
70850,70900,13458,9699,13458,11971
70900,70950,13470,9706,13470,11984
70950,71000,13483,9714,13483,11996
71000,71050,13495,9721,13495,12009
71050,71100,13508,9729,13508,12021
71100,71150,13520,9736,13520,12034
71150,71200,13533,9744,13533,12046
71200,71250,13545,9751,13545,12059
71250,71300,13558,9759,13558,12071
71300,71350,13570,9766,13570,12084
71350,71400,13583,9774,13583,12096
71400,71450,13595,9781,13595,12109
71450,71500,13608,9789,13608,12121
71500,71550,13620,9796,13620,12134
71550,71600,13633,9804,13633,12146
71600,71650,13645,9811,13645,12159
71650,71700,13658,9819,13658,12171
71700,71750,13670,9826,13670,12184
71750,71800,13683,9834,13683,12196
71800,71850,13695,9841,13695,12209
71850,71900,13708,9849,13708,12221
71900,71950,13720,9856,13720,12234
71950,72000,13733,9864,13733,12246
72000,72050,13745,9871,13745,12259
72050,72100,13758,9879,13758,12271
72100,72150,13770,9886,13770,12284
72150,72200,13783,9894,13783,12296
72200,72250,13795,9901,13795,12309
72250,72300,13808,9909,13808,12321
72300,72350,13820,9916,13820,12334
72350,72400,13833,9924,13833,12346
72400,72450,13845,9931,13845,12359
72450,72500,13858,9939,13858,12371
72500,72550,13870,9946,13870,12384
72550,72600,13883,9954,13883,12396
72600,72650,13895,9961,13895,12409
72650,72700,13908,9969,13908,12421
72700,72750,13920,9976,13920,12434
72750,72800,13933,9984,13933,12446
72800,72850,13945,9991,13945,12459
72850,72900,13958,9999,13958,12471
72900,72950,13970,10006,13970,12484
72950,73000,13983,10014,13983,12496
73000,73050,13995,10021,13995,12509
73050,73100,14008,10029,14008,12521
73100,73150,14020,10036,14020,12534
73150,73200,14033,10044,14033,12546
73200,73250,14045,10051,14045,12559
73250,73300,14058,10059,14058,12571
73300,73350,14070,10066,14070,12584
73350,73400,14083,10074,14083,12596
73400,73450,14095,10081,14095,12609
73450,73500,14108,10089,14108,12621
73500,73550,14120,10096,14120,12634
73550,73600,14133,10104,14133,12646
73600,73650,14145,10111,14145,12659
73650,73700,14158,10119,14158,12671
73700,73750,14170,10126,14170,12684
73750,73800,14183,10134,14183,12696
73800,73850,14195,10141,14195,12709
73850,73900,14208,10149,14208,12721
73900,73950,14220,10156,14220,12734
73950,74000,14233,10164,14233,12746
74000,74050,14245,10171,14245,12759
74050,74100,14258,10179,14258,12771
74100,74150,14270,10186,14270,12784
74150,74200,14283,10194,14283,12796
74200,74250,14295,10201,14295,12809
74250,74300,14308,10209,14308,12821
74300,74350,14320,10216,14320,12834
74350,74400,14333,10224,14333,12846
74400,74450,14345,10231,14345,12859
74450,74500,14358,10239,14358,12871
74500,74550,14370,10246,14370,12884
74550,74600,14383,10254,14383,12896
74600,74650,14395,10261,14395,12909
74650,74700,14408,10269,14408,12921
74700,74750,14420,10276,14420,12934
74750,74800,14433,10284,14433,12946
74800,74850,14445,10291,14445,12959
74850,74900,14458,10299,14458,12971
74900,74950,14470,10306,14470,12984
74950,75000,14483,10314,14483,12996
75000,75050,14495,10321,14495,13009
75050,75100,14508,10329,14508,13021
75100,75150,14520,10336,14520,13034
75150,75200,14533,10344,14533,13046
75200,75250,14545,10351,14545,13059
75250,75300,14558,10359,14558,13071
75300,75350,14570,10366,14570,13084
75350,75400,14583,10374,14583,13096
75400,75450,14595,10381,14595,13109
75450,75500,14608,10389,14608,13121
75500,75550,14620,10396,14620,13134
75550,75600,14633,10404,14633,13146
75600,75650,14645,10411,14645,13159
75650,75700,14658,10419,14658,13171
75700,75750,14670,10426,14670,13184
75750,75800,14683,10434,14683,13196
75800,75850,14695,10441,14695,13209
75850,75900,14708,10449,14708,13221
75900,75950,14720,10459,14720,13234
75950,76000,14733,10471,14733,13246
76000,76050,14745,10484,14745,13259
76050,76100,14758,10496,14758,13271
76100,76150,14770,10509,14770,13284
76150,76200,14783,10521,14783,13296
76200,76250,14795,10534,14795,13309
76250,76300,14808,10546,14808,13321
76300,76350,14820,10559,14820,13334
76350,76400,14833,10571,14833,13346
76400,76450,14845,10584,14845,13359
76450,76500,14858,10596,14858,13371
76500,76550,14870,10609,14870,13384
76550,76600,14883,10621,14883,13396
76600,76650,14895,10634,14897,13409
76650,76700,14908,10646,14911,13421
76700,76750,14920,10659,14925,13434
76750,76800,14933,10671,14939,13446
76800,76850,14945,10684,14953,13459
76850,76900,14958,10696,14967,13471
76900,76950,14970,10709,14981,13484
76950,77000,14983,10721,14995,13496
77000,77050,14995,10734,15009,13509
77050,77100,15008,10746,15023,13521
77100,77150,15020,10759,15037,13534
77150,77200,15033,10771,15051,13546
77200,77250,15045,10784,15065,13559
77250,77300,15058,10796,15079,13571
77300,77350,15070,10809,15093,13584
77350,77400,15083,10821,15107,13596
77400,77450,15095,10834,15121,13609
77450,77500,15108,10846,15135,13621
77500,77550,15120,10859,15149,13634
77550,77600,15133,10871,15163,13646
77600,77650,15145,10884,15177,13659
77650,77700,15158,10896,15191,13671
77700,77750,15170,10909,15205,13684
77750,77800,15183,10921,15219,13696
77800,77850,15195,10934,15233,13709
77850,77900,15208,10946,15247,13721
77900,77950,15220,10959,15261,13734
77950,78000,15233,10971,15275,13746
78000,78050,15245,10984,15289,13759
78050,78100,15258,10996,15303,13771
78100,78150,15270,11009,15317,13784
78150,78200,15283,11021,15331,13796
78200,78250,15295,11034,15345,13809
78250,78300,15308,11046,15359,13821
78300,78350,15320,11059,15373,13834
78350,78400,15333,11071,15387,13846
78400,78450,15345,11084,15401,13859
78450,78500,15358,11096,15415,13871
78500,78550,15370,11109,15429,13884
78550,78600,15383,11121,15443,13896
78600,78650,15395,11134,15457,13909
78650,78700,15408,11146,15471,13921
78700,78750,15420,11159,15485,13934
78750,78800,15433,11171,15499,13946
78800,78850,15445,11184,15513,13959
78850,78900,15458,11196,15527,13971
78900,78950,15470,11209,15541,13984
78950,79000,15483,11221,15555,13996
79000,79050,15495,11234,15569,14009
79050,79100,15508,11246,15583,14021
79100,79150,15520,11259,15597,14034
79150,79200,15533,11271,15611,14046
79200,79250,15545,11284,15625,14059
79250,79300,15558,11296,15639,14071
79300,79350,15570,11309,15653,14084
79350,79400,15583,11321,15667,14096
79400,79450,15595,11334,15681,14109
79450,79500,15608,11346,15695,14121
79500,79550,15620,11359,15709,14134
79550,79600,15633,11371,15723,14146
79600,79650,15645,11384,15737,14159
79650,79700,15658,11396,15751,14171
79700,79750,15670,11409,15765,14184
79750,79800,15683,11421,15779,14196
79800,79850,15695,11434,15793,14209
79850,79900,15708,11446,15807,14221
79900,79950,15720,11459,15821,14234
79950,80000,15733,11471,15835,14246
80000,80050,15745,11484,15849,14259
80050,80100,15758,11496,15863,14271
80100,80150,15770,11509,15877,14284
80150,80200,15783,11521,15891,14296
80200,80250,15795,11534,15905,14309
80250,80300,15808,11546,15919,14321
80300,80350,15820,11559,15933,14334
80350,80400,15833,11571,15947,14346
80400,80450,15845,11584,15961,14359
80450,80500,15858,11596,15975,14371
80500,80550,15870,11609,15989,14384
80550,80600,15883,11621,16003,14396
80600,80650,15895,11634,16017,14409
80650,80700,15908,11646,16031,14421
80700,80750,15920,11659,16045,14434
80750,80800,15933,11671,16059,14446
80800,80850,15945,11684,16073,14459
80850,80900,15958,11696,16087,14471
80900,80950,15970,11709,16101,14484
80950,81000,15983,11721,16115,14496
81000,81050,15995,11734,16129,14509
81050,81100,16008,11746,16143,14521
81100,81150,16020,11759,16157,14534
81150,81200,16033,11771,16171,14546
81200,81250,16045,11784,16185,14559
81250,81300,16058,11796,16199,14571
81300,81350,16070,11809,16213,14584
81350,81400,16083,11821,16227,14596
81400,81450,16095,11834,16241,14609
81450,81500,16108,11846,16255,14621
81500,81550,16120,11859,16269,14634
81550,81600,16133,11871,16283,14646
81600,81650,16145,11884,16297,14659
81650,81700,16158,11896,16311,14671
81700,81750,16170,11909,16325,14684
81750,81800,16183,11921,16339,14696
81800,81850,16195,11934,16353,14709
81850,81900,16208,11946,16367,14721
81900,81950,16220,11959,16381,14734
81950,82000,16233,11971,16395,14746
82000,82050,16245,11984,16409,14759
82050,82100,16258,11996,16423,14771
82100,82150,16270,12009,16437,14784
82150,82200,16283,12021,16451,14796
82200,82250,16295,12034,16465,14809
82250,82300,16308,12046,16479,14821
82300,82350,16320,12059,16493,14834
82350,82400,16333,12071,16507,14846
82400,82450,16345,12084,16521,14859
82450,82500,16358,12096,16535,14871
82500,82550,16370,12109,16549,14884
82550,82600,16383,12121,16563,14896
82600,82650,16395,12134,16577,14909
82650,82700,16408,12146,16591,14921
82700,82750,16420,12159,16605,14934
82750,82800,16433,12171,16619,14946
82800,82850,16445,12184,16633,14959
82850,82900,16458,12196,16647,14971
82900,82950,16470,12209,16661,14984
82950,83000,16483,12221,16675,14996
83000,83050,16495,12234,16689,15009
83050,83100,16508,12246,16703,15021
83100,83150,16520,12259,16717,15034
83150,83200,16533,12271,16731,15046
83200,83250,16545,12284,16745,15059
83250,83300,16558,12296,16759,15071
83300,83350,16570,12309,16773,15084
83350,83400,16583,12321,16787,15096
83400,83450,16595,12334,16801,15109
83450,83500,16608,12346,16815,15121
83500,83550,16620,12359,16829,15134
83550,83600,16633,12371,16843,15146
83600,83650,16645,12384,16857,15159
83650,83700,16658,12396,16871,15171
83700,83750,16670,12409,16885,15184
83750,83800,16683,12421,16899,15196
83800,83850,16695,12434,16913,15209
83850,83900,16708,12446,16927,15221
83900,83950,16720,12459,16941,15234
83950,84000,16733,12471,16955,15246
84000,84050,16745,12484,16969,15259
84050,84100,16758,12496,16983,15271
84100,84150,16770,12509,16997,15284
84150,84200,16783,12521,17011,15296
84200,84250,16795,12534,17025,15309
84250,84300,16808,12546,17039,15321
84300,84350,16820,12559,17053,15334
84350,84400,16833,12571,17067,15346
84400,84450,16845,12584,17081,15359
84450,84500,16858,12596,17095,15371
84500,84550,16870,12609,17109,15384
84550,84600,16883,12621,17123,15396
84600,84650,16895,12634,17137,15409
84650,84700,16908,12646,17151,15421
84700,84750,16920,12659,17165,15434
84750,84800,16933,12671,17179,15446
84800,84850,16945,12684,17193,15459
84850,84900,16958,12696,17207,15471
84900,84950,16970,12709,17221,15484
84950,85000,16983,12721,17235,15496
85000,85050,16995,12734,17249,15509
85050,85100,17008,12746,17263,15521
85100,85150,17020,12759,17277,15534
85150,85200,17033,12771,17291,15546
85200,85250,17045,12784,17305,15559
85250,85300,17058,12796,17319,15571
85300,85350,17070,12809,17333,15584
85350,85400,17083,12821,17347,15596
85400,85450,17095,12834,17361,15609
85450,85500,17108,12846,17375,15621
85500,85550,17120,12859,17389,15634
85550,85600,17133,12871,17403,15646
85600,85650,17145,12884,17417,15659
85650,85700,17158,12896,17431,15671
85700,85750,17170,12909,17445,15684
85750,85800,17183,12921,17459,15696
85800,85850,17195,12934,17473,15709
85850,85900,17208,12946,17487,15721
85900,85950,17220,12959,17501,15734
85950,86000,17233,12971,17515,15746
86000,86050,17245,12984,17529,15759
86050,86100,17258,12996,17543,15771
86100,86150,17270,13009,17557,15784
86150,86200,17283,13021,17571,15796
86200,86250,17295,13034,17585,15809
86250,86300,17308,13046,17599,15821
86300,86350,17320,13059,17613,15834
86350,86400,17333,13071,17627,15846
86400,86450,17345,13084,17641,15859
86450,86500,17358,13096,17655,15871
86500,86550,17370,13109,17669,15884
86550,86600,17383,13121,17683,15896
86600,86650,17395,13134,17697,15909
86650,86700,17408,13146,17711,15921
86700,86750,17420,13159,17725,15934
86750,86800,17433,13171,17739,15946
86800,86850,17445,13184,17753,15959
86850,86900,17458,13196,17767,15971
86900,86950,17470,13209,17781,15984
86950,87000,17483,13221,17795,15996
87000,87050,17495,13234,17809,16009
87050,87100,17508,13246,17823,16021
87100,87150,17520,13259,17837,16034
87150,87200,17533,13271,17851,16046
87200,87250,17545,13284,17865,16059
87250,87300,17558,13296,17879,16071
87300,87350,17570,13309,17893,16084
87350,87400,17583,13321,17907,16096
87400,87450,17595,13334,17921,16109
87450,87500,17608,13346,17935,16121
87500,87550,17620,13359,17949,16134
87550,87600,17633,13371,17963,16146
87600,87650,17645,13384,17977,16159
87650,87700,17658,13396,17991,16171
87700,87750,17670,13409,18005,16184
87750,87800,17683,13421,18019,16196
87800,87850,17695,13434,18033,16209
87850,87900,17708,13446,18047,16221
87900,87950,17720,13459,18061,16234
87950,88000,17733,13471,18075,16246
88000,88050,17745,13484,18089,16259
88050,88100,17758,13496,18103,16271
88100,88150,17770,13509,18117,16284
88150,88200,17783,13521,18131,16296
88200,88250,17795,13534,18145,16309
88250,88300,17808,13546,18159,16321
88300,88350,17820,13559,18173,16334
88350,88400,17833,13571,18187,16346
88400,88450,17845,13584,18201,16359
88450,88500,17858,13596,18215,16371
88500,88550,17870,13609,18229,16384
88550,88600,17883,13621,18243,16396
88600,88650,17895,13634,18257,16409
88650,88700,17908,13646,18271,16421
88700,88750,17920,13659,18285,16434
88750,88800,17933,13671,18299,16446
88800,88850,17945,13684,18313,16459
88850,88900,17958,13696,18327,16471
88900,88950,17970,13709,18341,16484
88950,89000,17983,13721,18355,16496
89000,89050,17995,13734,18369,16509
89050,89100,18008,13746,18383,16521
89100,89150,18020,13759,18397,16534
89150,89200,18033,13771,18411,16546
89200,89250,18045,13784,18425,16559
89250,89300,18058,13796,18439,16571
89300,89350,18070,13809,18453,16584
89350,89400,18083,13821,18467,16596
89400,89450,18095,13834,18481,16609
89450,89500,18108,13846,18495,16621
89500,89550,18120,13859,18509,16634
89550,89600,18133,13871,18523,16646
89600,89650,18145,13884,18537,16659
89650,89700,18158,13896,18551,16671
89700,89750,18170,13909,18565,16684
89750,89800,18183,13921,18579,16696
89800,89850,18195,13934,18593,16709
89850,89900,18208,13946,18607,16721
89900,89950,18220,13959,18621,16734
89950,90000,18233,13971,18635,16746
90000,90050,18245,13984,18649,16759
90050,90100,18258,13996,18663,16771
90100,90150,18270,14009,18677,16784
90150,90200,18283,14021,18691,16796
90200,90250,18295,14034,18705,16809
90250,90300,18308,14046,18719,16821
90300,90350,18320,14059,18733,16834
90350,90400,18333,14071,18747,16846
90400,90450,18345,14084,18761,16859
90450,90500,18358,14096,18775,16871
90500,90550,18370,14109,18789,16884
90550,90600,18383,14121,18803,16896
90600,90650,18395,14134,18817,16909
90650,90700,18408,14146,18831,16921
90700,90750,18420,14159,18845,16934
90750,90800,18433,14171,18859,16946
90800,90850,18445,14184,18873,16959
90850,90900,18458,14196,18887,16971
90900,90950,18470,14209,18901,16984
90950,91000,18483,14221,18915,16996
91000,91050,18495,14234,18929,17009
91050,91100,18508,14246,18943,17021
91100,91150,18520,14259,18957,17034
91150,91200,18533,14271,18971,17046
91200,91250,18545,14284,18985,17059
91250,91300,18558,14296,18999,17071
91300,91350,18570,14309,19013,17084
91350,91400,18583,14321,19027,17096
91400,91450,18595,14334,19041,17109
91450,91500,18608,14346,19055,17121
91500,91550,18620,14359,19069,17134
91550,91600,18633,14371,19083,17146
91600,91650,18645,14384,19097,17159
91650,91700,18658,14396,19111,17171
91700,91750,18670,14409,19125,17184
91750,91800,18683,14421,19139,17196
91800,91850,18695,14434,19153,17209
91850,91900,18708,14446,19167,17221
91900,91950,18721,14459,19181,17234
91950,92000,18735,14471,19195,17246
92000,92050,18749,14484,19209,17259
92050,92100,18763,14496,19223,17271
92100,92150,18777,14509,19237,17284
92150,92200,18791,14521,19251,17296
92200,92250,18805,14534,19265,17309
92250,92300,18819,14546,19279,17321
92300,92350,18833,14559,19293,17334
92350,92400,18847,14571,19307,17346
92400,92450,18861,14584,19321,17359
92450,92500,18875,14596,19335,17371
92500,92550,18889,14609,19349,17384
92550,92600,18903,14621,19363,17396
92600,92650,18917,14634,19377,17409
92650,92700,18931,14646,19391,17421
92700,92750,18945,14659,19405,17434
92750,92800,18959,14671,19419,17446
92800,92850,18973,14684,19433,17459
92850,92900,18987,14696,19447,17471
92900,92950,19001,14709,19461,17484
92950,93000,19015,14721,19475,17496
93000,93050,19029,14734,19489,17509
93050,93100,19043,14746,19503,17521
93100,93150,19057,14759,19517,17534
93150,93200,19071,14771,19531,17546
93200,93250,19085,14784,19545,17559
93250,93300,19099,14796,19559,17571
